#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
8790	1022209	17215490197
8800	1022270	17215501254
8810	1022273	17215508855
8820	1022276	17215516429
8830	1022279	17215524041
8840	1022282	17215531740
8850	1022286	17215539354
8860	1022289	17215546920
8870	1022292	17215554616
8880	1022295	17215562279
8890	1022298	17215569784
8900	1022301	17215577302
8910	1022304	17215584871
8920	1022307	17215592377
8930	1022310	17215599951
8940	1022313	17215607545
8950	1022316	17215615322
8960	1022320	17215623088
8970	1022323	17215630731
8980	1022326	17215638378
8990	1022329	17215646065
9000	1022332	17215653644
9010	1022336	17215661046
9020	1022339	17215668662
9030	1022903	17231187031
9040	1023676	17244260276
9050	1024259	17266534443
9060	1025135	17290508230
9070	1026724	17319227767
9080	1028123	17348440953
9090	1029830	17390016414
9100	1030960	17426796924
9110	1032060	17454950511
9120	1033145	17478423956
9130	1034070	17494858283
9140	1035086	17515307776
9150	1035962	17535500257
9160	1036967	17560550517
9170	1038412	17586860458
9180	1040135	17628088616
9190	1041491	17662430397
9200	1042871	17688300072
9210	1044117	17714681227
9220	1045375	17739610789
9230	1046468	17763883107
9240	1047510	17787815487
9250	1048344	17811294346
9260	1049336	17835816210
9270	1050583	17861948694
9280	1052249	17907517015
9290	1053922	17937398350
9300	1055214	17964454267
9310	1056507	17994053296
9320	1057590	18023438808
9330	1058788	18051439207
9340	1059768	18074404900
9350	1060849	18097130010
9360	1062460	18135116095
9370	1063651	18159093604
9380	1065176	18197165388
9390	1066356	18227043298
9400	1066972	18248234565
9410	1067829	18267907504
9420	1068637	18287527845
9430	1069539	18313746935
9440	1070983	18339788459
9450	1072740	18370348991
9460	1074097	18403450137
9470	1075999	18444827742
9480	1080174	18498875811
9490	1084271	18552146065
9500	1088923	18605950456
9510	1092543	18661306475
9520	1096841	18712860394
9530	1100319	18769215732
9540	1104785	18820667969
9550	1107950	18875398300
9560	1111298	18931366845
9570	1114631	18986192362
9580	1118617	19040128297
9590	1122285	19093778904
9600	1129251	19145526812
9610	1133298	19200718253
9620	1137674	19253641274
9630	1140380	19309136829
9640	1144501	19364235925
9650	1149638	19415846717
9660	1152601	19472044022
9670	1156154	19524450820
9680	1159078	19580088417
9690	1163242	19635534135
9700	1169193	19688546956
9710	1174019	19740049840
9720	1177351	19798948799
9730	1181245	19851226293
9740	1185354	19904604618
9750	1188857	19953810118
9760	1192570	20007518308
9770	1195587	20065654171
9780	1199350	20119382525
9790	1200887	20137977300
9800	1200895	20137985370
9810	1200900	20137993060
9820	1200903	20138000646
9830	1200906	20138008302
9840	1200909	20138015904
9850	1204395	20161490581
9860	1208578	20205059860
9870	1212225	20259415878
9880	1215225	20313906421
